user_id,occupation,monthly_income,income_variance,upi_txn_count,upi_avg_amount,upi_inflow_outflow_ratio,gst_filing_frequency,monthly_revenue,savings_ratio,missed_payments,credit_score,loan_repaid,risk_level,reason
42,shopkeeper,46378,0.56,426,2077,1.93,4,29335,0.45,4,530,0,High Risk,High missed payments
43,vendor,14255,0.11,316,867,1.43,1,75008,0.48,3,338,0,High Risk,High missed payments
44,driver,24484,0.33,471,1224,1.56,4,91745,0.2,5,399,0,High Risk,High missed payments
45,driver,66549,0.59,377,1214,0.95,9,194220,0.1,4,644,1,Medium Risk,High missed payments
46,shopkeeper,44503,0.15,155,1142,1.12,3,23577,0.13,1,511,0,High Risk,Low savings
47,driver,83794,0.37,430,1333,0.84,7,93916,0.28,4,748,1,Medium Risk,High missed payments
48,delivery_agent,55113,0.59,84,2061,1.9,0,155148,0.41,3,569,0,High Risk,High missed payments
49,driver,84069,0.38,168,895,1.23,11,183997,0.12,2,746,1,Medium Risk,Low savings
50,vendor,15249,0.19,63,2041,1.45,4,79314,0.35,5,331,0,High Risk,High missed payments
51,vendor,29201,0.39,63,570,1.6,10,61205,0.2,5,415,0,High Risk,High missed payments
52,vendor,68576,0.2,315,420,1.06,11,162167,0.2,0,664,1,Medium Risk,Stable financial behavior
53,vendor,19686,0.36,189,1492,1.58,9,133583,0.35,4,366,0,High Risk,High missed payments
54,delivery_agent,63363,0.14,343,150,1.51,0,104715,0.26,5,621,1,Medium Risk,High missed payments
55,freelancer,10661,0.4,413,710,1.56,9,76680,0.42,1,327,0,High Risk,Stable financial behavior
56,shopkeeper,54843,0.36,168,1731,1.23,9,48400,0.12,2,573,0,High Risk,Low savings
57,vendor,70963,0.47,287,292,1.07,3,127345,0.41,1,672,1,Medium Risk,Stable financial behavior
58,driver,52828,0.42,83,2850,0.83,7,107110,0.08,4,552,0,High Risk,High missed payments
59,vendor,58604,0.37,218,561,1.74,0,140120,0.14,3,592,0,High Risk,High missed payments
60,driver,20526,0.44,59,2946,1.41,10,48562,0.35,0,374,0,High Risk,Stable financial behavior
61,driver,78910,0.17,171,2652,1.17,1,191735,0.43,0,717,1,Medium Risk,Stable financial behavior
62,vendor,35592,0.4,450,2323,1.92,0,38510,0.16,2,467,0,High Risk,Low savings
63,delivery_agent,38982,0.19,194,1591,0.57,10,81608,0.2,5,475,0,High Risk,High missed payments
64,driver,10207,0.56,495,2311,1.78,6,72182,0.29,5,317,0,High Risk,High missed payments
65,driver,98733,0.13,272,2815,2.0,1,46883,0.15,5,828,1,Low Risk,High missed payments
66,vendor,78619,0.32,420,2164,1.83,0,186916,0.42,0,725,1,Medium Risk,Stable financial behavior
67,driver,39328,0.45,306,445,1.72,11,169800,0.4,3,489,0,High Risk,High missed payments
68,driver,56479,0.33,317,661,1.06,5,31094,0.12,5,580,0,High Risk,High missed payments
69,vendor,30103,0.15,408,1310,0.85,5,153479,0.26,1,437,0,High Risk,Stable financial behavior
70,vendor,49891,0.38,53,1907,1.6,9,32644,0.4,5,537,0,High Risk,High missed payments
71,shopkeeper,20754,0.42,475,819,0.96,1,105834,0.2,3,378,0,High Risk,High missed payments
72,delivery_agent,91437,0.45,446,1472,0.76,0,128982,0.33,2,794,1,Low Risk,Stable financial behavior
73,delivery_agent,82982,0.29,403,456,1.68,9,72748,0.07,2,747,1,Medium Risk,Low savings
74,driver,65922,0.38,155,1922,0.97,2,79021,0.32,0,639,1,Medium Risk,Stable financial behavior
75,delivery_agent,58231,0.33,134,1553,1.87,9,82651,0.12,3,591,0,High Risk,High missed payments
76,driver,39301,0.44,263,2744,1.76,4,56807,0.42,1,488,0,High Risk,Stable financial behavior
77,shopkeeper,72711,0.39,170,2319,1.77,5,185144,0.21,3,676,1,Medium Risk,High missed payments
78,vendor,51323,0.36,181,1229,1.66,2,189470,0.18,1,553,0,High Risk,Low savings
79,vendor,28752,0.22,387,703,1.82,8,48669,0.43,1,433,0,High Risk,Stable financial behavior
80,vendor,92205,0.1,246,2525,1.71,10,181233,0.07,3,795,1,Low Risk,High missed payments
81,delivery_agent,23395,0.19,68,1231,1.4,4,158354,0.23,4,380,0,High Risk,High missed payments
82,shopkeeper,95957,0.16,179,1026,0.94,1,46539,0.22,3,810,1,Low Risk,High missed payments
83,delivery_agent,66273,0.32,61,1489,1.83,9,154379,0.18,1,640,1,Medium Risk,Low savings
84,delivery_agent,14895,0.41,130,2468,1.76,5,37745,0.46,5,333,0,High Risk,High missed payments
85,shopkeeper,86559,0.21,379,1417,1.21,11,190505,0.39,2,770,1,Low Risk,Stable financial behavior
86,shopkeeper,20699,0.57,403,2947,0.56,7,54555,0.08,2,377,0,High Risk,Low savings
87,shopkeeper,75061,0.1,311,2953,1.46,10,152145,0.37,0,704,1,Medium Risk,Stable financial behavior
88,shopkeeper,19715,0.49,441,278,0.58,5,52683,0.29,2,374,0,High Risk,Stable financial behavior
89,vendor,29169,0.41,174,2377,1.89,3,45741,0.46,4,420,0,High Risk,High missed payments
90,freelancer,26163,0.29,356,1943,1.94,5,173358,0.19,1,413,0,High Risk,Low savings
91,freelancer,15782,0.13,316,1363,0.78,7,23599,0.31,3,347,0,High Risk,High missed payments
92,shopkeeper,98177,0.41,496,1120,1.51,7,148513,0.28,3,838,1,Low Risk,High missed payments
93,freelancer,94328,0.29,490,1024,0.64,9,47293,0.27,4,812,1,Low Risk,High missed payments
94,freelancer,45585,0.57,432,1788,1.59,1,35389,0.26,2,525,0,High Risk,Stable financial behavior
95,shopkeeper,40682,0.37,189,807,1.02,7,32318,0.14,1,491,0,High Risk,Low savings
96,freelancer,57864,0.57,378,370,1.52,5,199947,0.39,2,598,0,High Risk,Stable financial behavior
97,delivery_agent,94416,0.21,51,2371,1.06,1,23055,0.25,0,802,1,Low Risk,Stable financial behavior
98,driver,65114,0.46,57,605,0.72,0,141164,0.48,2,626,1,Medium Risk,Stable financial behavior
99,driver,48067,0.41,299,893,1.11,5,102579,0.17,0,540,0,High Risk,Low savings
100,shopkeeper,52685,0.47,188,1386,0.67,6,157392,0.36,3,558,0,High Risk,High missed payments
101,vendor,28073,0.21,173,1436,1.37,9,124817,0.47,1,421,0,High Risk,Stable financial behavior
102,shopkeeper,46035,0.43,358,717,0.56,4,24642,0.35,5,520,0,High Risk,High missed payments
103,vendor,74977,0.35,277,2477,1.29,9,29321,0.44,0,701,1,Medium Risk,Stable financial behavior
104,driver,93362,0.47,59,2808,1.83,7,99968,0.42,2,798,1,Low Risk,Stable financial behavior
105,shopkeeper,75450,0.26,261,1992,1.76,10,122770,0.21,2,700,1,Medium Risk,Stable financial behavior
106,delivery_agent,20382,0.55,161,2054,1.82,11,177116,0.32,3,372,0,High Risk,High missed payments
107,freelancer,14437,0.14,57,1980,1.88,8,173043,0.12,4,329,0,High Risk,High missed payments
108,vendor,80971,0.5,341,795,0.66,3,129762,0.29,5,724,1,Medium Risk,High missed payments
109,freelancer,74612,0.53,411,724,0.69,6,134183,0.15,4,691,1,Medium Risk,High missed payments
110,freelancer,71929,0.51,302,2213,1.34,7,137159,0.38,2,679,1,Medium Risk,Stable financial behavior
111,shopkeeper,22329,0.36,63,2702,1.84,5,45727,0.29,4,375,0,High Risk,High missed payments
112,freelancer,35169,0.32,289,1115,1.96,1,173631,0.24,5,455,0,High Risk,High missed payments
113,delivery_agent,97468,0.6,487,2476,0.57,6,93820,0.17,5,826,1,Low Risk,High missed payments
114,freelancer,44594,0.21,291,2563,1.03,8,129062,0.5,1,521,0,High Risk,Stable financial behavior
115,shopkeeper,86957,0.37,391,2377,0.82,4,47476,0.08,4,762,1,Low Risk,High missed payments
116,delivery_agent,70631,0.44,198,667,1.63,1,162063,0.07,1,665,1,Medium Risk,Low savings
117,driver,55033,0.45,285,2215,1.46,3,140355,0.15,2,576,0,High Risk,Low savings
118,freelancer,73133,0.2,355,2406,0.68,2,90047,0.49,2,685,1,Medium Risk,Stable financial behavior
119,shopkeeper,83165,0.43,216,2197,1.23,3,161868,0.49,2,741,1,Medium Risk,Stable financial behavior
120,driver,83861,0.51,69,2358,1.53,9,23881,0.34,3,740,1,Medium Risk,High missed payments
121,driver,62290,0.13,265,1042,1.67,6,35668,0.45,4,619,1,Medium Risk,High missed payments
122,vendor,41750,0.56,392,1378,0.53,9,185384,0.15,0,506,0,High Risk,Low savings
123,delivery_agent,50461,0.11,184,1427,1.84,7,48106,0.49,5,546,0,High Risk,High missed payments
124,freelancer,83800,0.28,442,335,1.35,0,35729,0.11,0,753,1,Low Risk,Low savings
125,shopkeeper,88222,0.11,178,2425,1.72,7,149354,0.1,2,770,1,Low Risk,Low savings
126,vendor,34226,0.14,459,2160,1.71,4,90320,0.1,4,457,0,High Risk,High missed payments
127,delivery_agent,16721,0.56,471,736,0.78,11,74913,0.31,1,362,0,High Risk,Stable financial behavior
128,vendor,66154,0.28,343,1355,0.67,6,79402,0.4,0,649,1,Medium Risk,Stable financial behavior
129,delivery_agent,30609,0.31,295,1514,1.58,10,141649,0.22,2,437,0,High Risk,Stable financial behavior
130,delivery_agent,62130,0.21,238,787,0.73,10,123930,0.49,0,624,1,Medium Risk,Stable financial behavior
131,freelancer,82909,0.4,93,2736,1.77,0,188354,0.25,0,737,1,Medium Risk,Stable financial behavior
132,delivery_agent,65249,0.4,135,2008,1.59,1,189290,0.12,5,624,1,Medium Risk,High missed payments
133,vendor,58895,0.29,93,1944,1.76,0,169022,0.26,0,596,0,High Risk,Stable financial behavior
134,delivery_agent,15656,0.27,379,2573,0.95,4,79739,0.36,2,349,0,High Risk,Stable financial behavior
135,freelancer,84520,0.54,424,1535,0.97,5,24507,0.42,5,750,1,Low Risk,High missed payments
136,freelancer,73740,0.29,495,2150,1.51,9,197375,0.26,2,697,1,Medium Risk,Stable financial behavior
137,vendor,74309,0.35,427,2851,0.55,8,122552,0.32,3,694,1,Medium Risk,High missed payments
138,driver,39984,0.24,439,535,1.59,7,99059,0.17,3,494,0,High Risk,High missed payments
139,driver,83822,0.49,194,1563,1.75,6,175739,0.34,3,743,1,Medium Risk,High missed payments
140,delivery_agent,15901,0.3,100,2051,1.12,11,155064,0.49,0,349,0,High Risk,Stable financial behavior
141,shopkeeper,41552,0.36,291,1437,1.65,4,150514,0.07,4,494,0,High Risk,High missed payments
142,delivery_agent,41055,0.23,343,2506,0.76,2,107680,0.45,2,496,0,High Risk,Stable financial behavior
143,vendor,47685,0.59,457,1080,0.98,8,45530,0.3,3,539,0,High Risk,High missed payments
144,vendor,83965,0.25,100,1815,1.96,4,35305,0.16,4,738,1,Medium Risk,High missed payments
145,vendor,24716,0.49,315,717,1.98,2,129097,0.48,3,400,0,High Risk,High missed payments
146,vendor,21138,0.31,169,1270,1.27,2,72044,0.27,3,371,0,High Risk,High missed payments
147,vendor,45298,0.2,249,884,1.9,2,150436,0.2,4,515,0,High Risk,High missed payments
148,freelancer,61112,0.5,454,925,1.28,5,109363,0.13,3,616,1,Medium Risk,High missed payments
149,driver,33429,0.27,297,2464,0.94,0,78817,0.16,0,451,0,High Risk,Low savings
150,vendor,60200,0.53,119,1051,0.9,10,123038,0.42,0,608,1,Medium Risk,Stable financial behavior
151,shopkeeper,81308,0.56,390,299,1.89,3,66666,0.33,5,730,1,Medium Risk,High missed payments
152,shopkeeper,58244,0.53,106,1989,0.76,7,177245,0.46,0,594,0,High Risk,Stable financial behavior
153,shopkeeper,27347,0.12,431,1668,1.37,2,38909,0.15,1,420,0,High Risk,Low savings
154,shopkeeper,26920,0.49,88,1313,1.33,4,182079,0.1,5,398,0,High Risk,High missed payments
155,freelancer,41822,0.31,338,2477,1.61,1,164057,0.05,3,497,0,High Risk,High missed payments
156,shopkeeper,56659,0.54,492,921,1.25,1,42525,0.28,1,594,0,High Risk,Stable financial behavior
157,vendor,50108,0.42,67,884,0.91,10,132293,0.5,2,544,0,High Risk,Stable financial behavior
158,delivery_agent,99099,0.52,489,2872,0.75,6,121046,0.36,4,839,1,Low Risk,High missed payments
159,shopkeeper,17967,0.35,269,968,1.43,9,57403,0.19,2,361,0,High Risk,Low savings
160,freelancer,21871,0.37,362,1774,1.58,2,188265,0.44,1,388,0,High Risk,Stable financial behavior
161,freelancer,87452,0.17,293,2552,1.35,4,154902,0.4,0,773,1,Low Risk,Stable financial behavior
162,shopkeeper,84270,0.49,401,2463,1.61,2,151605,0.06,3,749,1,Medium Risk,High missed payments
163,delivery_agent,43613,0.31,353,1363,0.71,5,172018,0.42,5,507,0,High Risk,High missed payments
164,shopkeeper,38179,0.35,347,1947,1.82,9,43504,0.19,3,481,0,High Risk,High missed payments
165,freelancer,62188,0.49,332,452,1.37,2,130551,0.12,0,622,1,Medium Risk,Low savings
166,driver,65099,0.4,123,2155,0.69,7,75715,0.15,3,628,1,Medium Risk,High missed payments
167,vendor,45262,0.2,159,2618,1.19,1,179327,0.26,4,510,0,High Risk,High missed payments
168,freelancer,88213,0.4,229,1377,1.77,2,56855,0.24,4,766,1,Low Risk,High missed payments
169,shopkeeper,28268,0.3,475,1188,1.85,7,61721,0.18,4,425,0,High Risk,High missed payments
170,vendor,87866,0.33,81,259,0.9,7,131597,0.13,2,762,1,Low Risk,Low savings
171,shopkeeper,96269,0.11,283,1114,1.57,0,192922,0.39,0,823,1,Low Risk,Stable financial behavior
172,shopkeeper,70545,0.21,331,865,0.65,7,120659,0.5,4,668,1,Medium Risk,High missed payments
173,driver,82146,0.24,74,2270,0.55,9,54723,0.4,1,733,1,Medium Risk,Stable financial behavior
174,vendor,81966,0.46,380,283,1.34,1,186811,0.18,4,733,1,Medium Risk,High missed payments
175,vendor,49922,0.11,328,842,1.54,11,25539,0.16,5,547,0,High Risk,High missed payments
176,driver,89364,0.3,275,1957,1.69,6,136360,0.15,2,780,1,Low Risk,Low savings
177,freelancer,52913,0.56,106,1663,1.01,5,121140,0.11,1,558,0,High Risk,Low savings
178,shopkeeper,65677,0.16,229,2890,0.51,1,172383,0.3,0,639,1,Medium Risk,Stable financial behavior
179,delivery_agent,59841,0.36,281,2216,1.22,4,89180,0.32,0,609,1,Medium Risk,Stable financial behavior
180,shopkeeper,56332,0.49,431,384,0.52,6,136985,0.37,5,584,0,High Risk,High missed payments
181,shopkeeper,35032,0.57,392,1409,0.64,7,105981,0.36,4,460,0,High Risk,High missed payments
182,freelancer,47846,0.47,336,1689,0.99,2,55934,0.18,1,536,0,High Risk,Low savings
183,shopkeeper,69474,0.46,113,1147,1.16,0,160583,0.2,5,647,1,Medium Risk,High missed payments
184,driver,54936,0.51,281,1264,0.92,6,151255,0.36,1,579,0,High Risk,Stable financial behavior
185,driver,39794,0.32,338,373,1.37,4,29475,0.21,4,485,0,High Risk,High missed payments
186,vendor,71588,0.5,262,1840,0.58,4,79577,0.15,4,667,1,Medium Risk,High missed payments
187,delivery_agent,80984,0.1,307,333,0.72,6,46008,0.22,3,728,1,Medium Risk,High missed payments
188,shopkeeper,60331,0.56,67,262,1.54,0,199013,0.17,3,596,0,High Risk,High missed payments
189,shopkeeper,38141,0.32,224,1708,0.71,7,62756,0.09,4,471,0,High Risk,High missed payments
190,freelancer,19074,0.38,466,1791,1.46,11,100730,0.42,2,377,0,High Risk,Stable financial behavior
191,driver,16406,0.23,278,978,0.58,9,178984,0.43,5,346,0,High Risk,High missed payments
192,delivery_agent,33291,0.47,275,801,1.11,4,102702,0.15,3,446,0,High Risk,High missed payments
193,vendor,51568,0.14,133,1467,0.77,7,66840,0.08,4,547,0,High Risk,High missed payments
194,driver,56851,0.54,340,2436,0.66,9,58623,0.38,1,593,0,High Risk,Stable financial behavior
195,vendor,64823,0.51,484,1871,1.35,9,83303,0.15,5,637,1,Medium Risk,High missed payments
196,freelancer,33312,0.21,419,1095,1.89,4,66062,0.23,3,454,0,High Risk,High missed payments
197,freelancer,53108,0.5,295,1844,0.58,11,76690,0.08,2,566,0,High Risk,Low savings
198,shopkeeper,76918,0.49,451,1942,1.13,6,118980,0.15,5,705,1,Medium Risk,High missed payments
199,delivery_agent,44171,0.42,159,154,1.56,9,174706,0.41,5,507,0,High Risk,High missed payments
200,vendor,51779,0.29,303,1539,1.19,2,155162,0.41,0,562,0,High Risk,Stable financial behavior
201,driver,78828,0.24,137,1532,1.71,1,65266,0.14,1,712,1,Medium Risk,Low savings
202,freelancer,22411,0.22,121,1505,0.77,5,181080,0.2,2,379,0,High Risk,Stable financial behavior
203,shopkeeper,67009,0.26,430,819,1.94,4,107643,0.11,2,653,1,Medium Risk,Low savings
204,shopkeeper,25422,0.55,79,2813,1.08,8,78704,0.08,2,395,0,High Risk,Low savings
205,vendor,52468,0.14,221,2860,1.01,9,137374,0.5,1,565,0,High Risk,Stable financial behavior
206,freelancer,42371,0.51,358,2009,1.81,3,28382,0.35,2,506,0,High Risk,Stable financial behavior
207,delivery_agent,67022,0.27,443,2077,1.35,10,198846,0.29,0,660,1,Medium Risk,Stable financial behavior
208,freelancer,81229,0.36,392,428,1.27,2,109609,0.39,3,733,1,Medium Risk,High missed payments
209,vendor,61196,0.5,485,762,1.59,8,66698,0.43,1,626,1,Medium Risk,Stable financial behavior
210,vendor,90354,0.54,226,1422,1.37,7,21110,0.41,2,785,1,Low Risk,Stable financial behavior
211,freelancer,36715,0.27,188,274,0.74,5,135266,0.06,4,460,0,High Risk,High missed payments
212,vendor,37605,0.33,243,1787,1.51,0,151458,0.13,3,469,0,High Risk,High missed payments
213,freelancer,41174,0.31,235,787,0.7,9,67801,0.34,5,490,0,High Risk,High missed payments
214,driver,19956,0.11,267,285,1.71,11,134012,0.22,1,377,0,High Risk,Stable financial behavior
215,freelancer,86373,0.25,213,232,1.98,10,116085,0.49,4,761,1,Low Risk,High missed payments
216,freelancer,79252,0.33,210,761,1.07,0,51566,0.35,5,709,1,Medium Risk,High missed payments
217,vendor,71949,0.31,480,1942,1.17,11,183593,0.48,4,684,1,Medium Risk,High missed payments
218,vendor,72646,0.46,62,2541,0.57,5,43798,0.14,2,670,1,Medium Risk,Low savings
219,shopkeeper,80017,0.29,345,1938,0.52,2,164637,0.44,1,726,1,Medium Risk,Stable financial behavior
220,shopkeeper,73037,0.34,138,672,1.88,2,43027,0.19,2,678,1,Medium Risk,Low savings
221,driver,99818,0.31,373,1309,0.69,5,25631,0.5,5,838,1,Low Risk,High missed payments
222,shopkeeper,16548,0.47,91,1200,1.17,2,76878,0.12,0,345,0,High Risk,Low savings
223,freelancer,83294,0.53,452,798,1.72,10,65206,0.28,4,749,1,Medium Risk,High missed payments
224,vendor,33177,0.37,259,2252,1.83,9,123473,0.41,0,456,0,High Risk,Stable financial behavior
225,shopkeeper,34022,0.49,278,2354,1.28,5,78334,0.24,5,448,0,High Risk,High missed payments
226,shopkeeper,15542,0.25,399,2332,1.35,4,92323,0.26,2,349,0,High Risk,Stable financial behavior
227,driver,70428,0.37,324,2597,1.5,3,73619,0.49,3,669,1,Medium Risk,High missed payments
228,driver,32740,0.27,491,2386,1.94,7,123536,0.24,4,453,0,High Risk,High missed payments
229,freelancer,69353,0.31,328,559,1.4,1,177947,0.32,3,660,1,Medium Risk,High missed payments
230,vendor,66532,0.47,300,1625,1.34,11,175586,0.07,1,649,1,Medium Risk,Low savings
231,driver,26052,0.54,359,1873,0.52,10,173652,0.43,4,407,0,High Risk,High missed payments
232,shopkeeper,57076,0.16,257,2806,0.62,6,155360,0.34,0,592,0,High Risk,Stable financial behavior
233,vendor,63420,0.42,370,834,1.37,3,26734,0.23,3,627,1,Medium Risk,High missed payments
234,vendor,10671,0.39,189,2991,1.9,1,59008,0.06,5,306,0,High Risk,High missed payments
235,shopkeeper,10163,0.16,329,2873,1.8,6,69349,0.32,1,320,0,High Risk,Stable financial behavior
236,driver,51424,0.21,83,2395,1.97,0,158886,0.06,4,544,0,High Risk,High missed payments
237,shopkeeper,63744,0.26,358,186,1.29,3,194226,0.05,5,623,1,Medium Risk,High missed payments
238,vendor,80331,0.18,441,2473,1.68,8,158923,0.33,1,737,1,Medium Risk,Stable financial behavior
239,delivery_agent,20634,0.22,67,2184,1.76,3,144478,0.14,0,371,0,High Risk,Low savings
240,delivery_agent,14798,0.23,106,1827,1.47,11,152672,0.14,5,332,0,High Risk,High missed payments
241,freelancer,32420,0.27,161,1272,1.01,2,76614,0.34,4,435,0,High Risk,High missed payments
242,shopkeeper,39300,0.47,54,2534,1.2,9,23692,0.07,1,479,0,High Risk,Low savings
243,shopkeeper,99881,0.39,459,1383,1.79,9,146745,0.19,2,850,1,Low Risk,Low savings
244,freelancer,20749,0.59,463,1827,0.95,1,40373,0.12,4,374,0,High Risk,High missed payments
245,freelancer,35121,0.31,231,1354,1.89,2,132413,0.31,4,455,0,High Risk,High missed payments
246,freelancer,47487,0.48,62,813,0.84,0,34507,0.35,4,518,0,High Risk,High missed payments
247,vendor,43361,0.54,388,751,1.62,9,82931,0.37,4,512,0,High Risk,High missed payments
248,shopkeeper,31223,0.44,334,201,1.45,7,95499,0.16,2,440,0,High Risk,Low savings
249,vendor,82930,0.31,308,1375,1.62,0,134362,0.09,5,734,1,Medium Risk,High missed payments
250,freelancer,24056,0.48,139,1351,1.16,2,117449,0.09,5,381,0,High Risk,High missed payments
251,shopkeeper,38380,0.2,153,1761,1.9,2,116819,0.24,5,470,0,High Risk,High missed payments
252,vendor,36035,0.26,428,1081,1.45,1,59423,0.48,0,475,0,High Risk,Stable financial behavior
253,vendor,40620,0.37,235,856,0.93,4,123612,0.15,2,489,0,High Risk,Low savings
254,freelancer,29877,0.39,299,284,1.46,9,106120,0.17,2,432,0,High Risk,Low savings
255,shopkeeper,65316,0.11,304,2772,0.93,2,137409,0.1,1,638,1,Medium Risk,Low savings
256,freelancer,74041,0.57,125,610,0.94,2,110918,0.32,3,679,1,Medium Risk,High missed payments
257,shopkeeper,63352,0.45,435,1375,1.1,7,86600,0.36,5,627,1,Medium Risk,High missed payments
258,delivery_agent,40911,0.35,157,87,1.78,3,61848,0.34,3,489,0,High Risk,High missed payments
259,driver,42784,0.57,205,1209,1.25,3,26820,0.44,1,504,0,High Risk,Stable financial behavior
260,driver,13191,0.32,131,2919,1.52,2,28512,0.27,2,326,0,High Risk,Stable financial behavior
261,driver,43160,0.59,126,470,1.09,10,187797,0.11,1,504,0,High Risk,Low savings
262,freelancer,74641,0.36,307,1292,0.9,0,71534,0.18,4,686,1,Medium Risk,High missed payments
263,delivery_agent,59723,0.16,176,397,1.93,7,145191,0.35,1,607,1,Medium Risk,Stable financial behavior
264,shopkeeper,13631,0.48,440,1881,1.41,0,190848,0.33,1,340,0,High Risk,Stable financial behavior
265,vendor,16172,0.44,331,1619,1.9,6,80945,0.29,4,349,0,High Risk,High missed payments
266,shopkeeper,52080,0.49,137,2845,0.81,4,103420,0.36,3,552,0,High Risk,High missed payments
267,vendor,99097,0.58,253,1968,0.72,3,198527,0.34,4,829,1,Low Risk,High missed payments
268,shopkeeper,30281,0.49,65,2370,1.78,3,103488,0.45,0,429,0,High Risk,Stable financial behavior
269,delivery_agent,38671,0.41,200,1951,1.52,7,29711,0.31,1,482,0,High Risk,Stable financial behavior
270,vendor,61431,0.53,473,2405,0.78,10,106009,0.4,1,625,1,Medium Risk,Stable financial behavior
271,freelancer,38602,0.44,303,1447,0.9,10,29597,0.16,3,480,0,High Risk,High missed payments
272,shopkeeper,98789,0.3,237,2830,1.7,5,80067,0.36,2,835,1,Low Risk,Stable financial behavior
273,shopkeeper,61399,0.54,378,1874,1.18,11,68022,0.46,4,618,1,Medium Risk,High missed payments
